序號,Month,Day,Hour,Minute,Class,答案,LocationCode,Sunlight(Lux)_normalized,仰角,MinutesOfDay,Time_sin,Time_cos
20240106090001,1,6,9,0,1,,1,0.07294813203867817,27.58,540,0.7071067811865476,-0.7071067811865475
20240106091001,1,6,9,10,1,,1,0.07615739661661315,29.16,550,0.6755902076156604,-0.737277336810124
20240106092001,1,6,9,20,1,,1,0.3448767083941832,30.66,560,0.6427876096865395,-0.7660444431189779
20240106093001,1,6,9,30,1,,1,0.7695121317871019,32.1,570,0.6087614290087204,-0.7933533402912353
20240106094001,1,6,9,40,1,,1,0.799727766986606,33.46,580,0.5735764363510464,-0.8191520442889916
20240106095001,1,6,9,50,1,,1,0.8175231288338654,34.74,590,0.5372996083468238,-0.8433914458128857
20240106100001,1,6,10,0,1,,1,0.8070477216909555,35.93,600,0.49999999999999994,-0.8660254037844387
20240106101001,1,6,10,10,1,,1,0.7915086551015085,37.05,610,0.4617486132350339,-0.8870108331782217
20240106102001,1,6,10,20,1,,1,0.7731973033134659,38.07,620,0.4226182617406995,-0.9063077870366499
20240106103001,1,6,10,30,1,,1,0.7542966856607207,39.0,630,0.3826834323650899,-0.9238795325112867
20240106104001,1,6,10,40,1,,1,0.6131035464926987,39.84,640,0.3420201433256689,-0.9396926207859083
20240106105001,1,6,10,50,1,,1,0.08340570658282781,40.58,650,0.30070579950427334,-0.9537169507482268
20240106110001,1,6,11,0,1,,1,0.08250444245377478,41.23,660,0.258819045102521,-0.9659258262890682
20240106111001,1,6,11,10,1,,1,0.08556716367962992,41.77,670,0.21643961393810318,-0.9762960071199333
20240106112001,1,6,11,20,1,,1,0.3553632704690475,42.22,680,0.17364817766693028,-0.984807753012208
20240106113001,1,6,11,30,1,,1,0.5096802932783685,42.57,690,0.13052619222005157,-0.9914448613738104
20240106114001,1,6,11,40,1,,1,0.07398673861249451,42.81,700,0.08715574274765864,-0.9961946980917455
20240106115001,1,6,11,50,1,,1,0.07225855674397919,42.96,710,0.04361938736533607,-0.9990482215818578
20240106120001,1,6,12,0,1,,1,0.07378495583347848,43.0,720,1.2246467991473532e-16,-1.0
20240106121001,1,6,12,10,1,,1,0.07372407522237034,42.94,730,-0.04361938736533627,-0.9990482215818578
20240106122001,1,6,12,20,1,,1,0.13271012351194333,42.77,740,-0.08715574274765794,-0.9961946980917455
20240106123001,1,6,12,30,1,,1,0.25401298252270244,42.51,750,-0.13052619222005132,-0.9914448613738105
20240106124001,1,6,12,40,1,,1,0.0674301363765619,42.14,760,-0.17364817766693047,-0.984807753012208
20240106125001,1,6,12,50,1,,1,0.06514972165811089,41.67,770,-0.21643961393810293,-0.9762960071199334
20240106130001,1,6,13,0,1,,1,0.06852608932561964,41.1,780,-0.25881904510252035,-0.9659258262890684
20240106131001,1,6,13,10,1,,1,0.07213607338222287,40.44,790,-0.30070579950427306,-0.9537169507482269
20240106132001,1,6,13,20,1,,1,0.08875661614688891,39.68,800,-0.34202014332566866,-0.9396926207859084
20240106133001,1,6,13,30,1,,1,0.10456580540312112,38.82,810,-0.3826834323650892,-0.923879532511287
20240106134001,1,6,13,40,1,,1,0.0968920193156525,37.87,820,-0.4226182617406993,-0.90630778703665
20240106135001,1,6,13,50,1,,1,0.10933901183088007,36.83,830,-0.4617486132350337,-0.8870108331782218
20240106140001,1,6,14,0,1,,1,0.10054731125657608,35.7,840,-0.5000000000000001,-0.8660254037844386
20240106141001,1,6,14,10,1,,1,0.09970267985898366,34.49,850,-0.5372996083468236,-0.8433914458128858
20240106142001,1,6,14,20,1,,1,0.05576828795234302,33.19,860,-0.5735764363510458,-0.819152044288992
20240106143001,1,6,14,30,1,,1,0.04438255170521232,31.82,870,-0.6087614290087207,-0.7933533402912352
20240106144001,1,6,14,40,1,,1,0.05816478872580119,30.37,880,-0.6427876096865393,-0.766044443118978
20240106145001,1,6,14,50,1,,1,0.04564346681250148,28.85,890,-0.6755902076156598,-0.7372773368101244
20240106150001,1,6,15,0,1,,1,0.049318579359860344,27.25,900,-0.7071067811865475,-0.7071067811865477
20240106151001,1,6,15,10,1,,1,0.046511461548155206,25.6,910,-0.7372773368101239,-0.6755902076156604
20240106152001,1,6,15,20,1,,1,0.05016392440123355,23.88,920,-0.7660444431189779,-0.6427876096865395
20240106153001,1,6,15,30,1,,1,0.04456378324249371,22.1,930,-0.7933533402912349,-0.6087614290087209
20240106154001,1,6,15,40,1,,1,0.03485881403125283,20.28,940,-0.8191520442889916,-0.5735764363510464
20240106155001,1,6,15,50,1,,1,0.03870242297270985,18.4,950,-0.8433914458128855,-0.5372996083468242
20240106160001,1,6,16,0,1,,1,0.03998670141806033,16.48,960,-0.8660254037844385,-0.5000000000000004
20240106161001,1,6,16,10,1,,1,0.013831801280316025,14.52,970,-0.8870108331782215,-0.46174861323503436
20240106162001,1,6,16,20,1,,1,0.005232665586192992,12.53,980,-0.9063077870366497,-0.42261826174069994
20240106163001,1,6,16,30,1,,1,0.0024673044314228814,10.5,990,-0.9238795325112868,-0.3826834323650895
20240106164001,1,6,16,40,1,,1,0.0031703285130858867,8.45,1000,-0.9396926207859082,-0.3420201433256694
20240106165001,1,6,16,50,1,,1,0.00394840413236111,6.38,1010,-0.9537169507482267,-0.3007057995042738
20240111090001,1,11,9,0,1,,1,0.05467090771572371,28.03,540,0.7071067811865476,-0.7071067811865475
20240111091001,1,11,9,10,1,,1,0.06339889859107434,29.64,550,0.6755902076156604,-0.737277336810124
20240111092001,1,11,9,20,1,,1,0.06894237303531638,31.19,560,0.6427876096865395,-0.7660444431189779
20240111093001,1,11,9,30,1,,1,0.06256844661574532,32.66,570,0.6087614290087204,-0.7933533402912353
20240111094001,1,11,9,40,1,,1,0.06009758246117781,34.05,580,0.5735764363510464,-0.8191520442889916
20240111095001,1,11,9,50,1,,1,0.06280913997233255,35.37,590,0.5372996083468238,-0.8433914458128857
20240111100001,1,11,10,0,1,,1,0.07117817652170923,36.6,600,0.49999999999999994,-0.8660254037844387
20240111101001,1,11,10,10,1,,1,0.08150194285696227,37.74,610,0.4617486132350339,-0.8870108331782217
20240111102001,1,11,10,20,1,,1,0.09429017604003366,38.8,620,0.4226182617406995,-0.9063077870366499
20240111103001,1,11,10,30,1,,1,0.09894656577748608,39.76,630,0.3826834323650899,-0.9238795325112867
20240111104001,1,11,10,40,1,,1,0.1105871663077081,40.63,640,0.3420201433256689,-0.9396926207859083
20240111105001,1,11,10,50,1,,1,0.12066385047538405,41.4,650,0.30070579950427334,-0.9537169507482268
20240111110001,1,11,11,0,1,,1,0.1121886169348196,42.08,660,0.258819045102521,-0.9659258262890682
20240111111001,1,11,11,10,1,,1,0.1351222140037079,42.65,670,0.21643961393810318,-0.9762960071199333
20240111112001,1,11,11,20,1,,1,0.17898085772047412,43.13,680,0.17364817766693028,-0.984807753012208
20240111113001,1,11,11,30,1,,1,0.28825754466116593,43.5,690,0.13052619222005157,-0.9914448613738104
20240111114001,1,11,11,40,1,,1,0.2749900147217066,43.77,700,0.08715574274765864,-0.9961946980917455
20240111115001,1,11,11,50,1,,1,0.23848374552675974,43.94,710,0.04361938736533607,-0.9990482215818578
20240111120001,1,11,12,0,1,,1,0.21075500597961278,44.0,720,1.2246467991473532e-16,-1.0
20240111121001,1,11,12,10,1,,1,0.23955633513775618,43.96,730,-0.04361938736533627,-0.9990482215818578
20240111122001,1,11,12,20,1,,1,0.36569575345333716,43.81,740,-0.08715574274765794,-0.9961946980917455
20240111123001,1,11,12,30,1,,1,0.23024300343849718,43.56,750,-0.13052619222005132,-0.9914448613738105
20240111124001,1,11,12,40,1,,1,0.21166971889562983,43.21,760,-0.17364817766693047,-0.984807753012208
20240111125001,1,11,12,50,1,,1,0.19458334515305847,42.76,770,-0.21643961393810293,-0.9762960071199334
20240111130001,1,11,13,0,1,,1,0.19658762220714343,42.2,780,-0.25881904510252035,-0.9659258262890684
20240111131001,1,11,13,10,1,,1,0.18487692316697815,41.55,790,-0.30070579950427306,-0.9537169507482269
20240111132001,1,11,13,20,1,,1,0.12468306676146915,40.79,800,-0.34202014332566866,-0.9396926207859084
20240111133001,1,11,13,30,1,,1,0.10090058191958165,39.94,810,-0.3826834323650892,-0.923879532511287
20240111134001,1,11,13,40,1,,1,0.07547915466481372,39.0,820,-0.4226182617406993,-0.90630778703665
20240111135001,1,11,13,50,1,,1,0.0760936784219005,37.96,830,-0.4617486132350337,-0.8870108331782218
20240111140001,1,11,14,0,1,,1,0.0620601198498463,36.84,840,-0.5000000000000001,-0.8660254037844386
20240111141001,1,11,14,10,1,,1,0.06403325145035567,35.62,850,-0.5372996083468236,-0.8433914458128858
20240111142001,1,11,14,20,1,,1,0.07729441806610302,34.32,860,-0.5735764363510458,-0.819152044288992
20240111143001,1,11,14,30,1,,1,0.07019552301860989,32.95,870,-0.6087614290087207,-0.7933533402912352
20240111144001,1,11,14,40,1,,1,0.05652582082564288,31.49,880,-0.6427876096865393,-0.766044443118978
20240111145001,1,11,14,50,1,,1,0.05018303136388805,29.96,890,-0.6755902076156598,-0.7372773368101244
