仰角,Month,Day,Hour,Minute
0.0,11,25,5,0
0.0,11,25,5,10
0.0,11,25,5,20
0.0,11,25,5,30
0.0,11,25,5,40
0.0,11,25,5,50
0.0,11,25,6,0
0.0,11,25,6,10
0.43,11,25,6,20
2.57,11,25,6,30
4.7,11,25,6,40
6.82,11,25,6,50
8.92,11,25,7,0
11.01,11,25,7,10
13.07,11,25,7,20
15.09,11,25,7,30
17.08,11,25,7,40
19.04,11,25,7,50
20.94,11,25,8,0
22.8,11,25,8,10
24.6,11,25,8,20
26.34,11,25,8,30
28.03,11,25,8,40
29.64,11,25,8,50
31.19,11,25,9,0
32.66,11,25,9,10
34.05,11,25,9,20
35.37,11,25,9,30
36.6,11,25,9,40
37.74,11,25,9,50
38.8,11,25,10,0
39.76,11,25,10,10
40.63,11,25,10,20
41.4,11,25,10,30
42.08,11,25,10,40
42.65,11,25,10,50
43.13,11,25,11,0
43.5,11,25,11,10
43.77,11,25,11,20
43.94,11,25,11,30
44.0,11,25,11,40
43.96,11,25,11,50
43.81,11,25,12,0
43.56,11,25,12,10
43.21,11,25,12,20
42.76,11,25,12,30
42.2,11,25,12,40
41.55,11,25,12,50
40.79,11,25,13,0
39.94,11,25,13,10
39.0,11,25,13,20
37.96,11,25,13,30
36.84,11,25,13,40
35.62,11,25,13,50
34.32,11,25,14,0
32.95,11,25,14,10
31.49,11,25,14,20
29.96,11,25,14,30
28.36,11,25,14,40
26.69,11,25,14,50
24.95,11,25,15,0
23.16,11,25,15,10
21.32,11,25,15,20
19.42,11,25,15,30
17.48,11,25,15,40
15.49,11,25,15,50
13.47,11,25,16,0
11.42,11,25,16,10
9.34,11,25,16,20
7.24,11,25,16,30
5.12,11,25,16,40
2.99,11,25,16,50
0.86,11,25,17,0
0.0,11,25,17,10
0.0,11,25,17,20
0.0,11,25,17,30
0.0,11,25,17,40
0.0,11,25,17,50
0.0,11,25,18,0
0.0,11,25,18,10
0.0,11,25,18,20
0.0,11,25,18,30
0.0,11,25,18,40
0.0,11,25,18,50
0.0,11,25,19,0
0.0,11,24,5,0
0.0,11,24,5,10
0.0,11,24,5,20
0.0,11,24,5,30
0.0,11,24,5,40
0.0,11,24,5,50
0.0,11,24,6,0
0.0,11,24,6,10
1.19,11,24,6,20
3.36,11,24,6,30
5.52,11,24,6,40
7.67,11,24,6,50
9.8,11,24,7,0
11.91,11,24,7,10
