iter	Passed	Remaining
0	371	2973566
1	682	2729474
2	1046	278928133	1330	265894344	1592	254610555	1947	259523366	2270	259222277	2591	258910988	2874	255265399	3225	2576802110	3549	2578082111	3926	2613453112	4241	260608313	4454	2540981
114	4855	2584800115	5356	2673000
16	5766	2708030
17	6127	2717101
18	6460	2713566
19	6826	2723898
20	7113	2702973
21	7467	2707846
22	7832	2716473
23	8245	2740369
24	8644	2757480
25	8951	2745436
26	9242	2729158
27	9595	2731999
28	9863	2711003
29	10280	2731137
30	10565	2716021
31	10960	2729236
32	11318	2732574
33	11626	2723932
34	11894	2706746
35	12152	2688513
36	12443	2678031
37	12770	2675762
38	12987	2651082
39	13235	2633961
40	13597	2639556
41	13935	2640465
42	14174	2622943	43	14453	2613444	44	14695	2597745	45	15020	2597246	46	15408	2607247447	15858	2627248448	16221	2632249	49	16729	2660013
50	17121	2668648
51	17386	2657409
52	17674	2650153	53	18083	2661020
54	18408	2659199
55	18682	2650200
56	19056	2655572
57	19352	2649929
58	19630	2642122
59	19899	2633325
60	20123	2619061	61	20448	2618022
62	20913	2634733
63	21213	2630439
64	21450	2618569
65	21892	2631755
66	22301	2640535
67	22608	2637185
68	22913	2633752
69	23346	2644878
70	23605	2636124
71	23836	2624676
72	24123	2619547
73	24408	2614336
74	24780	2618524
75	25058	2612655
76	25348	2608253
77	25648	2604978
78	25911	2598034
79	26251	2598852
80	26586	2599281
81	26878	2595432
82	27151	2589893
83	27495	2591102
84	27807	2589367
85	28218	2596729
86	28538	2595680
87	28849	2593831
88	29117	2588209
89	29351	2579658
90	29726	2583583
91	30067	2584484
92	30505	2593595
93	30822	2592367
94	31060	2584583
95	31299	2577025
96	31577	2572762
97	31865	2569413
98	32043	2557296
99	32272	2549537
100	32479	25401811101	32843	2543095
102	33157	25421591103	33513	2544482
104	33890	2548259
105	34298	2554243
106	34693	2559237
107	34981	2556239
108	35305	2555945
109	35530	2548486
110	35787	2543475
111	36115	2543543
112	36413	2541512
113	36754	2542541
114	37050	2540353
115	37332	2537325
116	37650	2536718
117	37906	2532029
118	38165	25275501119	38560	2532155
120	38837	2528932
121	39138	25273191122	39416	25242831123	39791	25273791124	40004	25202741125	40366	25225721126	40759	25267451127	41016	25225211128	41335	25220981129	41633	25204221130	41894	25165371131	42322	2522657
132	42783	25306611133	43211	2536594
134	43525	2535760
135	43786	2531887
136	44093	2530686
